refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,47.9985,1.52876,0
VCOMP0,VCOMP0-1,0,-1.52876,0
VCOMP10,VCOMP10-0,12.1783,0.470174,0
VCOMP10,VCOMP10-1,0.178774,-0.117543,0
VCOMP10,VCOMP10-2,0.178774,-0.117543,0
VCOMP10,VCOMP10-3,0.178774,-0.117543,0
VCOMP10,VCOMP10-4,0.178774,-0.117543,0
VCOMP12,VCOMP12-0,36.1774,1.8,0
VCOMP12,VCOMP12-1,0.179185,-1.8,0
VCOMP1,VCOMP1-0,11.1612,-0.00111626,5000
VCOMP1,VCOMP1-1,0.00043209,0.00111589,5000
VCOMP2,VCOMP2-0,1.57837,-0.000908679,770
VCOMP2,VCOMP2-1,0.179118,0.000908531,770
VCOMP3,VCOMP3-0,1.3872,-9.80999e-06,62000
VCOMP3,VCOMP3-1,0.178818,9.68001e-06,62000
VCOMP4,VCOMP4-0,-1.42435,-0.02,5
VCOMP4,VCOMP4-1,0.179284,0.02,5
VCOMP5,VCOMP5-0,12.1755,-0.15,0.666667
VCOMP5,VCOMP5-1,0.179295,0.15,0.666667
VCOMP6,VCOMP6-0,12.178,-0.15,0.666667
VCOMP6,VCOMP6-1,0.179225,0.15,0.666667
VCOMP7,VCOMP7-0,12.1774,-0.15,0.666667
VCOMP7,VCOMP7-1,0.179394,0.15,0.666667
VCOMP8,VCOMP8-0,1.77999,-0.000164009,4880
VCOMP8,VCOMP8-1,0.179284,0.000164004,4880
VCOMP9,VCOMP9-0,36.1755,-1.8,0.0555556
VCOMP9,VCOMP9-1,0.18115,1.8,0.0555556
VCOMP11,VCOMP11-0,47.973,-0.0626029,2.08717
VCOMP11,VCOMP11-1,47.9784,-0.0651618,2.08717
VCOMP11,VCOMP11-2,0.178774,0.0319412,2.08717
VCOMP11,VCOMP11-3,0.178774,0.0319412,2.08717
VCOMP11,VCOMP11-4,0.178774,0.0319412,2.08717
VCOMP11,VCOMP11-5,0.178774,0.0319412,2.08717
VCOMP13,VCOMP13-0,47.9171,-1.39897,0.0953081
VCOMP13,VCOMP13-1,0.181185,0.691467,0.0953081
VCOMP13,VCOMP13-2,0.179657,0.707505,0.0953081
VCOMP14,VCOMP14-0,0.00104384,1.52765,0.058
VCOMP14,VCOMP14-1,0.178252,-1.52765,0.058
VCOMP15,VCOMP15-0,47.9977,-0.00111626,16500
VCOMP15,VCOMP15-1,11.1612,0.00111626,16500
VCOMP16,VCOMP16-0,47.9977,-0.127765,0.075
VCOMP16,VCOMP16-1,47.9786,0.127765,0.075
VCOMP17,VCOMP17-0,47.9919,-1.39988,0.025
VCOMP17,VCOMP17-1,47.9219,1.39988,0.025
VCOMP18,VCOMP18-0,47.9211,-0.000908679,25500
VCOMP18,VCOMP18-1,1.57846,0.000908679,25500
VCOMP19,VCOMP19-0,1.57846,-0.000908679,0.046
VCOMP19,VCOMP19-1,1.57838,0.000908679,0.046
VCOMP20,VCOMP20-0,0.179185,2.60568e-09,0.075
VCOMP20,VCOMP20-1,0.179185,-2.6056e-09,0.075
VCOMP21,VCOMP21-0,12.1782,-9.80999e-06,550000
VCOMP21,VCOMP21-1,1.3872,9.80999e-06,550000
VCOMP22,VCOMP22-0,12.1757,-0.02,340
VCOMP22,VCOMP22-1,-1.4243,0.02,340
VCOMP23,VCOMP23-0,12.1782,-0.000164009,31700
VCOMP23,VCOMP23-1,1.77999,0.000164009,31700
